country,activity,injury,fatal
usa,fishing,hands bitten while attempting to unhook shark               provoked incident,n
usa,standing,lower left leg bitten,n
usa,surfing,lower left leg bitten,n
australia,fishing,leg bitten when he jumped on the sharkprovoked incident,n
usa,swimming,minor injury to calf,n
brazil,squatting in the water,lacerations to poster thigh and buttock,n
thailand,moving captive shark,lacerations to lower right leg provoked incident,n
usa,surfing,no injury,n
usa,nan,"small laceration to ankle, shark involvement not confirmed",n
australia,surfing,"no injury, knocked off board by shark",n
usa,boogie boarding,leg bitten,n
south africa,surfing,injuries to leg and torso,n
bahamas,jackass team's publicity stunt for discovery channel's shark week 2021,lacerations to right hand  provoked incident,n
usa,playing,right foot bitten,n
usa,spearfishing,shark involvement prior to death not confirmed,y
brazil,wading,fatal,y
australia,surfing,left forearm broken & lacerated,n
usa,standing,puncture wound to calf,n
usa,spearfishing,provoked incident lacerations to right hand,n
ecuador,diving,single bite to right thigh,n
usa,canoeing,hand injured,n
usa,surfing,lacerations to thigh and calf,nq
usa,swimming,calf bitten,n
usa,swimming,posterior right thigh bitten,n
jordan,parasailing,foot bitten,n
australia,surfing,lacerations to calf and ankle,n
usa,standing,left arm bitten,n
usa,swimming,"""superficial injuries:",n
usa,standing,right calf bitten,n
usa,standing,minor injury to right foot,n
england,fishing,calf bitten by hooked shark provoked incident,n
australia,snorkeling,foot bitten,n
new caledonia,spearfishing,presumed fatal  provoked incident,y
usa,swimming,minor injuries to foot and ankle,n
australia,spearfishing,lacerations to right hand and forearm,n
australia,surfing,fatal,y
usa,kite foiling,2- to 3-inch cuts to posterior thigh,n
belize,baiting sharks,right hand bitten,n
usa,wading,nick on foot,n
usa,surfing,lacerations to shin and calf,n
jamaica,spearfishing,fatal,y
usa,surfing,foot bitten,n
usa,boggie boarding,right leg bitten,n
french polynesia,canoeing,"no injury, canoe bitten",n
new caledonia,stand up paddleboarding,fatal,y
usa,swimming,puncture wound to knee,n
australia,nan,laceration to foot,n
usa,tagging sharks,"no injury to occupants, shark bit boat after being tagged",n
south africa,spearfishing,minor injury to head,n
south africa,body boarding,fatal,y
usa,swimming,1-inch cut to leg,n
usa,nan,cuts to both feet,n
australia,spearfishing,injury to calf,n
french polynesia,swimming,nan,n
usa,nan,"injuries to hands, arm and knees",n
usa,swimming,lacerations to right hand,n
usa,body surfing,left shoulder bitten,n
australia,paddle boarding,"no injury, board bitten",n
usa,wading,left forearm bitten,n
new caledonia,spearfishing,left leg bitten,n
new caledonia,swimming,right leg bitten but death due to heart attack,y
australia,fishing,superficial wound       provoked incident,n
usa,surfing,"no injury, surfboard bitten",n
australia,surf skiing,"no injury, surf ski bitten",n
usa,kayaking,"no injury, kayak bitten",n
australia,swimming,puncture wounds to foot,n
new zealand,swimming,minor puncture wound to arm,n
australia,swimming,severe lacerations to left arm,n
usa,fishing,no injury to occupants,n
