country,activity,injury,fatal
usa,kayaking,reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,nan
usa,kayaking,"fatal, thigh bitten, hands lacerated",y
usa,body boarding,foot bitten,n
south africa,lifesaving drill,thigh bitten,n
usa,swimming in strong current with 3 others when he disappeared,"lower part of body found 6 days later, x-rays revealed teeth marks in femur & tibia",y
australia,surfing with dolphins,"abdomen lacerated, surfboard holed",n
papua new guinea,"scuba diving, hand feeding sharks",thigh & calf bitten,n
usa,spearfishing using scuba & trailing a string of bleeding fish,"no injury, shark grabbed his fish and chased him to the boat",n
chile,skindiving,fatal,y
australia,"the christie v sank on 1161988, survivors were adrift on a dinghy","fatal  when james coucom, the lone survivor, was rescued, ""2 sharks were pounding on the dinghy""",y
australia,"the christie v sank on 1161988, survivors were adrift on a dinghy",fatal,y
philippines,the mv dona marilyn sank in typhoon unsang with the loss of 389 lives,"according to survivors, many people were taken by sharks",y
usa,surfing sitting on his board,leg bitten & femur fractured,n
australia,surfing,lacerations to right leg,n
usa,surfing,lacerations to left thigh,n
usa,surfing,left leg lacerated,n
usa,surfing,hand lacerated,n
australia,surfing,lower right  leg lacerated,n
usa,wading,leg lacerated,n
usa,surfing,lacerations to foot,n
papua new guinea,diving,fatal,y
usa,walking,dennis' hand injured; ann's right forearm bitten,n
usa,snorkeling,"fatal, thigh & hand lacerated",y
usa,diving in sharkey's reef restaurant’s aquarium,arm bitten by captive shark provoked incident,n
italy,nan,survived,n
japan,nan,survived,n
usa,surfing,thigh bitten,n
bahamas,free diving & spearfishing,hand bitten,n
bahamas,spearfishing on scuba,cheek bitten,n
bahamas,diving,right palm lacerated,n
usa,swimming,punctures & deep scratches to foot & buttock,n
usa,boogie boarding,punctures to lower left leg & foot,n
bahamas,snorkeling,leg lacerated,n
bahamas,spearfishing,lacerations to arm,n
south africa,spearfishing,left arm lacerated,n
usa,scuba diving,survived,n
usa,sittting in water with his child,left leg bitten,n
usa,swimming,four lacerations to his ankle,n
usa,surfing,cuts to right foot and ankle,n
south korea,shell diving,fatal,y
usa,surfing,left foot bitten,n
usa,surfing  treading water,left leg & right foot bitten,n
reunion,pêcheur de bichiques,fatal,y
usa,surfing,no injury,n
usa,swimming,lacerations to left foot,n
usa,onboard 21' powerboat that capsized in rough seas,"human remains, believed to be those of mr goo, washed ashore along the waihee shore several days later",nan
usa,surfing,right hand bitten,n
usa,windsurfing,"6"" laceration to left foot",n
south africa,nan,"arm washed ashore scratch marks on the humerus indicated it had been bitten by a shark, but cause of death could not be determined",nan
usa,standing,foot bitten,n
usa,body surfing,ankle bitten,n
south africa,surfing,"lower left leg bitten, hand lacerated",n
reunion,surfing,laceration to hand,n
south africa,nan,"no injury to occupants, pontoon puctured",n
south africa,surfing,ankle bitten,n
south africa,lying atop surfboard,"leg bitten, surgically amputated",n
australia,drift fishing,"no injury to occupants; shark leapt into boat, almost capsizing it and destroyed the inside of the boat",n
fiji,diving,lacerations to left arm & waist,n
south africa,surfing,minor injury to leg,nan
australia,fell overboard  from the taiwanese fishing trawler lien cheng feu,his remains were recovered from a shark caught by  the trawler ho tai no12 in march 1988,nan
usa,fishing,hand bitten by captured shark provoked incident,n
south africa,attempting to lasso shark's tail,foot lacerated by hooked shark provoked incident,n
south africa,"returning to shore, collided with shark","no injury to occupants; shark ripped off fibreglass hull, swamping boat provoked incident",n
australia,surfing,hand bitten,n
philippines,ferry boat dona paz with 4431 passengers exploded & caught fire when she collided with an  oil tanker,25 people survived; 300 shark-mutilated bodies were recovered,y
usa,surfing,left calf bitten,n
australia,nan,"remains recovered from 4 m, 420-kg, caught 13-dec-1987k",nan
usa,surfing,leg lacerated,n
south africa,nan,possible drowning  scavenging,nan
usa,surfing,buttock & leg bitten,n
south africa,boogie boarding,abrasion to forearm,nan
south africa,spearfishing,left thigh & calf lacerated,n
dominican republic,"vessel caught fire & capsized, survivors in the water","of 160 people on board, >100 missing",y
australia,scuba diving for scallops,fatal,y
south africa,surfing,torso lacerated,n
usa,wading,lower left leg lacerated,n
usa,surfing sitting on his board,fingers & surfboard injured,n
usa,surfing,right foot & ankle lacerated,n
usa,body surfing,left foot bitten,n
usa,wading,puncture wounds to right foot,n
usa,dropping anchor,no injury to occupants shark grabbed anchor,n
bahamas,snorkeling,right leg bitten,n
bahamas,spearfishing,puncture marks to torso,n
usa,fishing,left hand bitten by shark he was dragging ashore by its head provoked incident,n
usa,nan,"6"" cut to thigh",n
usa,surfing,hand lacerated,n
australia,fishing,3 fingers severed by metal trace as he tried to haul in a hooked shark provoked accident,n
south africa,fishing,"slipped off rocks & was treading water when he disappeared, body mutilated by sharks",nan
usa,swimming,right arm severed above elbow,n
usa,swimming from shore to anchored sailboat,"presumed fatal disappeared, his shark-bitten swim trunks were found on the seafloor",y
vanuatu,swimming,fatal,y
australia,surfing,calf lacerated,n
south africa,nan,"no injury to occupants, boat holed by hooked shark provoked incident",n
usa,windsurfing,"lacerations to toe, heel & ankle of right foot",n
solomon islands,the inter-island ferry vula sank in heavy weather,fatal,y
south africa,spearfishing,puncture wounds to right hand,n
australia,swimming,right leg lacerated,n
montenegro,jumped into the water from a cliff,fatal,nan
italy,boat,no injury,n
south africa,spearfishing,2 punctures in lower leg,n
south africa,body boarding,"fatal, legs bitten",y
usa,surfing,forearm bitten,n
bahamas,adrift after ditching plane in the sea,"no injury, bumped  by sharks",n
usa,free diving  & spearfishing submerged,"punctured lung, lacerations to shoulder, face, jaw, neck & forearm",n
south africa,spearfishing,"no injury, no attack, 18 m copper shark made threat displays",nan
new caledonia,spearfishing,right leg bitten,n
usa,surfing,5' gash in leg,n
usa,surfing,laceration to dorsum of left foot,n
usa,surfing,ankle bitten,n
south africa,nsb meshing,minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat provoked incident,n
usa,swimming,hip & thigh bitten,n
south africa,racing ski,"no injury, ski bitten",n
australia,nan,no details,unknown
usa,surfing,laceration to right arm,n
usa,nan,human hand recovered from 15 m [5'] blacktip shark's stomach,nan
usa,surfing,survived,n
usa,surfing,hand bitten,n
usa,surfing,hand bitten,n
south africa,spearfishing,"no injury, shark made threat display & impaled itself on spear",nan
australia,scuba diving,survived,n
france,nan,survived,n
australia,fishing,"no injury to occupants shark bit motor, lifting stern a half-metre out of the water",n
usa,nan,back of left thigh bitten,n
south africa,spearfishing,minor lacerations on left hand,n
australia,scuba diving,survived,n
south korea,shell diving,fatal,y
usa,"fishing, fell from rocks & disappeared",pieces of clothing & human flesh recovered by fire department divers who encountered a large shark,y
spain,diving,abrasions,n
spain,windsurfing,foot severed,n
south africa,treading water,foot bitten,n
south africa,surfing,"no injury, board struck by shark",n
south africa,surfing,"no injury, board bitten",n
south africa,surfing,"no injury, knocked off board",n
south africa,swimming,lower leg lacerated,n
south africa,spearfishing,2 punctures in upper arm,n
australia,surfing,"no injury, knocked into water & board bitten",n
usa,surfing,puncture wounds to both feet,n
usa,surfing,"no injury, foot bumped",n
south africa,surfing,"both surfers boards were bumped by sharks, moolman sustained abrasions on his arm and leg",n
usa,nan,survived,n
australia,fishing,laceration to lower left leg by hooked shark provoked incident,n
usa,boat,2 semi-circular bites on aft starboard tube of boat,n
usa,fishing,forearm bitten by hooked shark provoked incident,n
south africa,body boarding,"left leg severely lacerated, superficial lacerations of right leg,  board damaged",n
usa,diving for abalone hookah,minor injury to foot & ankle,n
usa,body boarding,"right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",n
usa,floating on inner tube after diving for lobster,left arm lacerated,n
usa,fishing,laceration to leg by hooked shark  provoked incident,n
usa,free diving & spearfishing descending,"hip bumped by shark, no injury",n
south africa,swimming,probable drowning  scavenging,nan
usa,scuba diving,laceration and 4 puncture wounds to left hand,n
usa,swimming,found to be a hoax,nan
usa,wading,right calf bitten & less serious injury to left foot,n
usa,wading,"3"" wound on thigh",nan
usa,scuba diving,body not recovered 3 days later some of his equipment was found on seabed appeared damaged by a shark,nan
usa,wading,right calf bitten,n
usa,surfing,hand bitten,n
usa,bottom fishing for lingcod & had hooked a fish,"no injury to occupant, shark rammed boat catapulting it out of the water",n
usa,playing in knee-deep water,23rd of left calf removed,n
italy,snorkeling,contusion of left foot,n
usa,"surfing, but lying prone on his board",leg injured,n
south africa,spearfishing,"after diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  provoked incident",n
usa,surfing,hand bitten,n
australia,free diving for scallops,fatal,y
usa,scuba diving for lobster at surface,bruised,n
usa,surfing,right foot bitten,n
south africa,swimming,"right knee, calf and ankle lacerated",n
south africa,nan,probable drowning  scavenging,nan
south africa,surfing,thigh & calf bitten,n
new zealand,investigating shark sighting,"no injury to occupant, shark bit boat",n
south africa,spearfishing,minor injury to torso,n
new caledonia,spearfishing,legs bitten,n
south africa,spearfishing,upper right arm bitten after he shot the shark provoked incident,n
vanuatu,nan,fatal,y
iran,fishing,fatal,y
italy,boat,no injury,n
australia,sailing on catamaran & fell into the water,fatal,y
usa,surfing,left foot bitten,n
usa,spearfishing,"speared shark bit diver's right knee, and lacerated right thigh & buttocks provoked incident",n
usa,swimming,"disappeared, 1 mile from where sandra fletcher was bitten death was due to drowning",nan
usa,surfing or body surfing,"9"" laceration to right forearm",n
usa,wading,"10"" laceration on leg",nan
usa,surfing,left calf bitten,n
usa,surfing sitting on his board,"abrasion on right foot, board bitten",n
usa,"free diving , but surfacing",legs & buttocks bitten,n
usa,surfing,right foot bitten,n
usa,swimming,left foot lacerated,n
usa,surfing,foot bitten,n
usa,swimming,no details,unknown
usa,wading,arm bitten,n
usa,skindiving,fatal,y
mexico,spearfishing,"no injury, provoked incident",n
usa,boat capsized,death was due to drowning; body scavenged by a tiger shark,nan
indonesia,"sea disaster, foundering of the cargo vessle mv dorolonda",fatal,y
usa,swimming,lacerations on right foot,n
usa,swimming,legs severely lacerated,n
south africa,spearfishing,"fatal, but shark involvement prior to death could not be determined",nan
usa,"during a shark fishing tournament, the 18' boatem was capsized by waves, throwing 3 men into the water",leg abraded,n
south africa,spearfishing,"no injury, shark hit swim fin",n
south africa,surfing,"no injury, board bitten",n
usa,towing her sister on plastic ski board,foot bitten,n
vanuatu,swimming,fatal,y
south africa,spearfishing,swim fin bitten,n
somalia,murder,forced at gunpoint to jump overboard presumed fatal; shark involvement probable but not confirmed,nan
south africa,surfing,"no injury, 8 pressure dings in surboard",n
south africa,rowing,"no injury to occupant, shark seized oar and disappeared with it",n
australia,nan,no details,unknown
south africa,fishing,leg lacerated by hooked shark provoked incident,n
south africa,scuba diving,punctures in wetsuit & left arm bruised by captive shark provoked incident,n
south africa,nan,"human remains recovered, evidence of scavenging by sharks",nan
australia,spearfishing,hand bitten,n
south africa,swimming,foot bitten,n
south africa,nan,remains recovered 1-4-1984 showed evidence of defense wounds,y
usa,steinhart aquarium,head mouthed by captive shark provoked incident,n
usa,surfing,right foot bitten,n
greece,spearfishing,"coroner determined the man was killed by a boat propeller, not a tiger shark",nan
usa,surfing,left foot & thigh bitten,n
australia,scuba diving for abalone,fingers bitten,n
south africa,swimming,"left calf, ankle & foot lacerated",n
south africa,swimming,shin lacerated,n
south africa,nan,"two feet found in 174 m, 115-kg zambesi shark, confirmed as a postmortem scavenging",nan
philippines,ferry boat sank,left foot nipped,n
usa,surfing,laceration to left foot,n
south africa,swimming,probable drowning and scavenging,nan
usa,surfing,puncture marks in leg & surfboard dinged,n
usa,wading,lacerations to left ankle,n
usa,standing,abrasions to leg,n
usa,surfing,"no injury, board bitten",n
south africa,spearfishing,inner thighs lacerated,n
usa,swimming,foot bitten,n
usa,skindiving,hand abraded when he grabbed shark's tail provoked incident,n
usa,diving,right leg severely bitten,n
usa,fishing,no injury to occupants,n
australia,swimming from the new venture,"fatal, shark seized her by the chest and took her underwater",y
australia,swimming from the new venture,"fatal, shark bit leg, then dragged him underwater",y
australia,14 m prawn trawler new venture capsized  & sank in heavy seas three people in the water,"left knee bitten, but survived",n
south africa,surfing,left arm injured by shark's tail as it swam beneath his board,n
usa,windsurfing,left ankle nipped 3 punctures wounds,n
bahamas,spearfishing,lacerations to left calf,n
usa,floating on air mattress,"no injury, shark bit air mattress, deflating it",n
usa,swimming,left foot bitten,n
bahamas,spearfishing,fatal,y
usa,surfing & dangling foot in water amid baitfish,left foot lacerated,n
bahamas,nan,lacerations to hand & foot,n
italy,scuba diving,"no injury, 3 m shark ""harassed"" him at depth of 5 m",nan
bahamas,spearfishing,lacerations to thigh & buttocks,n
usa,water-skiing,"left calf, knee & hands lacerated",n
usa,surfing,"knocked off board by shark, no injury",n
usa,surfing,right foot bitten,n
usa,surfing,no details,unknown
south africa,fishing,puncture wounds to foot,n
usa,surfing,left foot bitten,n
south africa,nan,survived,nan
south africa,spearfishing,right calf lacerated,n
south africa,surfing,"no injury, board bitten",n
usa,surfing,"shark nudged board, no injury",n
new caledonia,nan,calf bitten,n
south africa,paddleskiing,puncture wounds to buttocks,n
usa,fishing,leg bitten by captive shark provoked incident,n
south africa,nan,fatal,nan
south africa,windsurfing,left foot lacerated,n
south africa,spearfishing,"no injury, rammed by shark",n
nan,swimming,left leg bitten,n
vanuatu,ran into the water,"fatal, armshoulder severed",y
usa,fishing,bitten on their feet by landed sharks  lacerations only provoked incidents,n
australia,surfing,"no injury, surfboard bitten",n
usa,in waist-deep water,arm bitten,n
usa,yacht trashman capsized in storm,fatal,y x 2
usa,windsurfing,left foot lacerated,n
south africa,surfing,"no injury, pressure ding on surfboard",n
south africa,surfing,"no injury, surfboard bitten",n
usa,surfing,laceration to lower left leg,n
usa,diving,lacerations to hand,n
usa,free diving for abalone from zodiac submerged,upper left thigh & buttocks bitten,n
usa,nan,"remains recovered from 27 m tiger shark, but shark involvement prior to death unknown",nan
japan,nan,fatal,y
usa,surfing,"no injury, board bitten",nan
south africa,swimming,"left knee, lower leg & foot bitten",n
tunisia,windsurfing,thigh lacerated,n
south africa,boogie boarding,"no injury, swim fin bitten",nan
south africa,paddleskiing,"no injury, ski bitten",n
usa,paddle boarding,"no injury, board bitten",n
usa,swimming,left ankle bitten,n
usa,swimming,laceration to left thigh,nan
usa,swimming,laceration to left leg,n
new caledonia,nan,left arm bitten,n
south africa,surfing,fatal,y
usa,swimming,left arm bitten,n
bahamas,spearfishing,arm severed at elbow,n
usa,nan,foot bitten,n
usa,"sailboarding, fell into water 100 yards outside the breakwater",thigh bitten 3 times,n
usa,nan,human remains recovered from tiger shark,nan
usa,surfing,elbow bitten,n
australia,surfing,legs bitten  fatal,y
new caledonia,spearfishing,arm bitten,n
australia,spearfishing,"fatal, body not recovered",y
usa,surfing,lacerations to left hand and forearm,n
south africa,fishing,leg bitten above ankle by hooked shark taken aboard skiboat provoked incident,n
usa,wading,left leg bitten,n
usa,swimming,right foot bitten,n
usa,swimming,shark-bitten body found floating 15 miles offshore bruises suggested she may have been bitten by the shark before drowning,y
usa,scuba diving submerged,calf & ankle bitten,n
usa,diving,"fatal disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",y
south africa,swimming,right shin & toe lacerated,n
italy,boat,no details,unknown
italy,fishing on a boat,no injury,n
tunisia,spearfishing,no details,unknown
usa,surfing,"fatal, torso bitten",y
australia,nan,abdomen lacerated,n
usa,"spearfishing, but swimming on surface",right leg severely bitten,n
reunion,spearfishing,survived,n
south africa,inspecting teeth of supposedly dead hooked & shot shark,hand lacerated  provoked incident,n
usa,diving to untangle a crab trap line from boat's propeller,hand bitten,n
usa,swimming,hand & forearm bitten,n
usa,surfing,no details,unknown
usa,surfing,puncture wounds to left foot,n
usa,surfing,laceration to right leg,n
usa,surfing,5 puncture marks to hip,n
usa,surfing,lacerations to right hand,n
usa,swimming,"fatal, right calf bitten",y
usa,surfing,lacerations to 2 fingers of left hand,n
usa,surfing,laceration to foot,n
usa,surfing,laceration to left ankle,n
usa,spearfishing,"shot shark, then it bit him puncture wounds on leg  provoked incident",n
usa,fishing,disappeared while fishing from shore leg found 7 days later wedged in rocks 150 yards offshore,nan
usa,diving,bite to face,n
usa,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",fatal,y
bahamas,snorkeling on surface,upper right arm bitten,n
usa,swimming,"foot bitten between arch & big toe, no stitches required",n
south africa,surfing,7 lacerations to right foot,n
usa,spearfishing,left foot & ankle lacerated,n
south africa,catching sardines,laceration to calf,n
england,fishing,minor injuries from shark that leapt aboard their boat,n
usa,nan,"probable drowning, 12 m [4'] shark hindered recovery of body",nan
usa,"scuba diving, reportedly also spearfishing","fatal, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",y
south korea,shell diving,fatal,y
south africa,surfing,"shark & board collided no injury, but board was dented",n
usa,free diving,massive tissue damage of left arm,n
usa,diving,left arm bitten,n
south africa,surfing,"no injury, board bitten",n
namibia,finning the shark that bit him,lacerations provoked incident,n
bermuda,foundering of the israeli freighter mezada,next day 2 bodies recovered from sharks,n
south africa,surfing,"left leg bitten, surgically amputated",n
usa,standing  wading,"lacerations on calf, ankle & heel",n
usa,surfing,puncture wounds on  right thigh,n
chile,free diving spearfishing,foot & ankle bitten,n
brazil,diving,nan,unknown
south africa,swimming,foot lacerated,n
australia,exercising his dog in the shallows,puncture wounds to foot,n
australia,nan,no details,unknown
usa,surfing,lacerations & punctures in left calf & ankle,n
brazil,spearfishing,left arm lacerated,n
usa,commercial spearfishing,3 small punctures in scalp & ripped nostril,n
south africa,swimming,probable drowning & scavenging by 15 m tiger shark,nan
australia,surf-skiing,"no injury, ski bitten",n
greece,"free diving  spearfishing,",minor injury,n
south africa,paddleskiing,"no injury, paddleski bitten",n
south africa,nan,probable drowning & scavenging,nan
reunion,spearfishing,bitten twice,n
australia,swimming,"right shoulder bitten, puncture wounds on chest & lacerations on his back",n
south africa,swimming,probable  drowning & scavenging,nan
brazil,swimming,fatal,y
usa,surfing,thigh lacerated,n
usa,surfing,no injury,n
mexico,diving in tuna net,fatal,y
usa,wading,laceration to leg,n
usa,wading,bitten behind knee & lower leg,n
usa,resting on body board,torso bitten,n
spain,skin diving,thigh injured,n
usa,body surfing,back bitten,n
usa,standing,"no injury, shark bit her bathing suit",n
usa,surfing,"no injury, bumped off board",n
usa,surfing,lower leg bitten,n
usa,scuba diving,laceration to lower leg   provoked incident,n
south africa,surfing,"no injury, board bitten",n
jamaica,spearfishing,hand bitten by speared shark provoked incident,n
philippines,sinking of the ferryboat don juan,fatal x 2,y
mexico,body surfing,right calf bitten,n
south africa,free diving,fatal,y
brazil,swimming,right leg bitten,n
philippines,sinking of the ferryboat bongbong 1,fatal,y
south africa,fishing,leg lacerated by netted shark provoked incident,n
south africa,body boarding,"both hands & heel of left foot lacerated, right foot severed",n
kenya,spearfishing,ankle & foot lacerated,n
south africa,spearfishing,"no injury, rammed & catapulted from the water by shark after he shot at it & missed provoked incident",n
south africa,swimming,abrasion,n
south africa,swimming,3 small punctures on arm,n
chile,hookah diving,fatal,y
north atlantic ocean,gaffing netted shark,arm lacerated by gaffed shark provoked incident,n
greece,surfing,knee bitten,nan
south africa,spearfishing,no injury; 2 m shark made threat display and impaled itself on spear,nan
tonga,spearfishing,chest bitten,n
south africa,swimming,shin lacerated,n
portugal,spearfishing,fatal,y
south china sea,diving,toothmarks on head & neck,n
usa,surfing,multiple major injuries,n
south africa,shark fishing,"no injury to occupants; hooked shark tore out part of transom, bit skeg of motor and snapped the steel trace provoked incident",n
south africa,fishing,bitten below right knee by hooked shark pulled onboard skiboat provoked incident,n
australia,scuba diving,leg bitten,n
hong kong,freedom swimming,"leg severed, fatal",y
hong kong,nan,fatal,y
usa,kayaking,lacerations to foot,n
thailand,murdered by thai pirates,fatal,y
usa,floating with life preserver after his boat foundered,lacerations to leg,n
usa,scuba diving,"fatal, but shark involvement prior to death was not determined",nan
south africa,spearfishing,shark rammed diver after he shot it in the head  provoked incident,n
south africa,scuba diving,"fatal presumed, pieces of shark-bitten wetsuit washed ashore but no body was recovered",y
new caledonia,fishing,"thigh severely injured, survived",n
new caledonia,nan,fatal,y
usa,swimming,right foot & ankle lacerated,n
usa,body surfing,right foot bitten,n
usa,surfing,foot & ankle bitten,n
usa,scuba diving submerged,"no injury, swim fin bitten",n
south africa,nan,no injury,n
new caledonia,spearfishing,"presumed fatal, body not recovered",y
south africa,"surfing, collided with shark",punctures on left thigh,n
usa,fishing,"fatal, disappeared while fishing from shore, divers recovered his hand",y
australia,nan,survived,n
south africa,spearfishing,"fatal, legs bitten",y
usa,surfing,left arm bitten,n
usa,surfing,hand lacerated,n
south africa,fishing,fatal or scavenging by 3 m tiger shark may have involved foul play,nan
south africa,spearfishing,"no injury, shark took his catch, then towed & pushed diver through the water",n
italy,diving,no injury,n
usa,nan,minor cuts to foot,n
australia,scuba diving for abalone,several broken ribs,n
usa,wading,punctures on leg minor injury,n
usa,floating on inner tube raft,minor injury to ankle,n
usa,"explosion destroyed 28' boat, survivors in the water","no injury, his foot was bumped by a shark biting the body of a passenger that had drowned",n
usa,fishing,laceration to leg by hooked shark  provoked incident,n
usa,surfing,foot bitten,n
usa,surfing,foot nipped,n
italy,nan,"no injury, white shark struck platform",nan
marshall islands,diving,laceration to left hand,n
marshall islands,diving,lacerations to right forearm,n
australia,scuba diving,thigh bitten,n
south africa,nan,"no injury to occupants; shark rammed boat 4 times, bit engine & cracked the hull",n
south africa,fishing for mackerel,"shark jumped in boat, but no injury to occupants",n
south africa,diving,"no injury, rammed by shark",n
south africa,surfing,"left leg, ankle & foot bitten",n
south africa,nan,"human head recovered from 3 m [10'] tiger shark’s gut, probable drowning  scavenging",nan
usa,surfing,foot bitten,n
vanuatu,swimming,fatal,y
usa,"swimming, after single-engine aircraft went down in the sea",feet lacerated,n
usa,surfing,laceration to right hand,n
south africa,surfing,"both legs bitten, 2 days later gangrene necessitated surgical amputation of left leg at mid-thigh",n
south africa,fishing for bottom fish,no injury to occupant: shark bit boat's port chine,n
south africa,standing,shark lacerated his hand when he grabbed it by the tail provoked incident,n
south africa,spearfishing,"no injury, shark bit speargun & pushed diver through the water",n
australia,surfing,"board rammed &  bitten, left thigh lacerated",n
australia,floating on an inflatable raft,"fatal, left arm severed, legs bitten",y
south africa,fishing,"shark leapt into boat, pinning mamacos beneath and fracturing his pelvis, then trashed the boat rendering it inoperable",n
usa,free diving for abalone surfacing,leg lacerated,n
usa,wading,lacerations to hip and leg,nan
usa,40' fishing boat sank,laceration to right hand,n
usa,spearfishing  scuba diving,"provoked incident    diver poked shark with spear, then shark bit his right foot",n
usa,collecting fish from net,lacerations to wrist,n
south africa,fishing for yellowtail,lombard's thigh was lacerated by shark that leapt into boat,n
australia,nan,"missing, believed taken by a shark",nan
australia,nan,survived,n
usa,swimming,arm bitten,n
south africa,swimming,right foot bitten,n
australia,"their 9 m launch was run down by a 25,000-ton japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days","his feet were bitten by sharks, but he was rescued by a charter boat that arrived on the scene just an hour and 15 minutes after the sharks first appeared, too late to save the lives of hayes and beaver",n
australia,"their 9 m launch was run down by a 25,000-ton japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",fatal,y
australia,"their 9 m launch was run down by a 25,000-ton japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",fatal,y
australia,"pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board","left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",n
australia,nan,shark involvement prior to death was unconfirmed,nan
new caledonia,nan,face & thorax bitten,n
mexico,swimming,"fatal, left leg severed, neck cut",y
australia,nan,survived,n
usa,"diving for abalone hookah, submerged",buttocks & hip bitten,n
south africa,"thrashing the water  imitating the shark victim from ""jaws""",torso bitten,n
australia,nan,"missing, believed taken by a shark, but not confirmed",nan
usa,surfing,"right arm severed 1"" below elbow with extensive tissue loss 3"" above elbow",n
south africa,swimming,laceration to foot,nan
south africa,fishing for white shark,"no injury to occupants hooked shark bit boat's transom, provoked incident",n
south africa,boat,"no injury to occupants, shark leapt on bow of boat",n
usa,surfing,leg bitten,n
south africa,surfing,left thigh lacerated,n
new caledonia,shipwreck,it was believed that survivors were killed by sharks,n
australia,"skindiving,","right leg bitten below the knee, left ankle & foot lacerated",n
hong kong,"3,909-ton panamanian freighter chieh lee sank in a typhoon","fatal, right leg bitten",y
usa,swimming,fatal,y
usa,swimming,fatal,y
usa,surfing,laceration to left lower leg,n
usa,"surfing, fell off surfboard",right ankle & foot lacerated,n
usa,surfing,"no injury, board bitten",n
usa,spearfishing,lacerations to forearms,n
usa,playing,leg bitten,n
usa,scuba diving,"fatal, disappeared while diving, lower portion of body recovered",y
usa,spearfishing,"""lost part of a finger""",n
usa,skindiving,lacerations to right arm,n
usa,swimming,leg & foot bitten,n
italy,fishing,shark rammed boat provoked incident,n
australia,sitting in bow of her father's 5 m boat,"shark jumped in boat, hitting her in the face & knocking her unconscious",n
south africa,competing in a light tackle game fishing,"shark following hooked fish, rammed & holed boat",n
usa,nan,"possible drowning victim, remains retrieved from 400-lb shark caught by fishermen on 28-apr-1976",nan
usa,standing,lacerations to left leg,n
south africa,fishing,"no injury to occupants, shark buckled prop shaft",n
south africa,nan,shark breached hull of boat,n
south africa,nan,"shark leapt into boat, hitting fanie schoeman on his back before sliding into the sea",n
south africa,shark watching,"no injury to occupants, shark rammed bow, driving its head into the hull",n
south africa,shark fishing,"no injury to occupants, after shark was harpooned & shot, it holed the boat provoked incident",n
australia,nan,survived,n
south africa,fishing for snoek & yellowtail,"hooked shark leapt onboard & into fish well, which it smashed provoked incident",n
usa,spearfishing  scuba diving,puncture wounds to head & neck,n
new zealand,spearfishing,fatal,y
usa,scuba diving,"fatal, lost consciousness at depth of 180' large sharks seen near partial remains of body",y
australia,attempting to drive shark away from the beach,"no injury, shark charged & rammed boat several times",n
usa,scuba diving & spearfishing,leg bitten,n
australia,filming & feeding captive sharks,tooth mark in left elbow provoked incident,n
australia,standing,laceration to posterior thigh,n
south africa,standing,left foot lacerated,n
australia,nan,puncture wounds in hand,n
usa,surfing,foot bitten,n
usa,surf fishing,"""tooth marks"" in left leg",nan
australia,surfing,"cracked jaw & broken tooth, shark took chunk out of surfboard",n
usa,surfing,nan,nan
south africa,paddleskiing,right foot & ankle lacerated,n
south africa,surfing,left leg & surfboard bitten,n
usa,floating on a small orange raft,"calf bitten, leg surgically amputated below the knee  note: by late august, 3 more bathers had been bitten by sharks at daytona beach",n
usa,free diving for abalone,"shoulder, arm & hand lacerated",n
hong kong,freedom swimming,"leg bitten, surgically amputated",n
usa,sea disaster,"fatal, arms & legs bitten",y
australia,diving for abalone scuba,fatal,y
usa,free diving,forearms lacerated,n
australia,surfing,buttocks & leg bitten,n
usa,"diving for abaone scuba, but at surface",legs bitten,n
usa,diving for abalone hookah,"no injury, swim fin torn",n
usa,swimming,arm lacerated,n
australia,spearfishing,speared shark bit his arm  between elbow and shoulder provoked incident,n
usa,surfing,"foot bitten, tendons damaged",n
usa,swimming,lacerations to right foot,n
usa,standing,hand & wrist bitten,n
usa,swimming near his boat,left leg bitten,n
usa,surfing,"no injury, board bumped",n
usa,nan,slightly injured when he stepped on a shark provoked incident,n
usa,surfing,right foot bitten,n
usa,bathing,leg bitten,n
italy,scuba diving,the press reported this as an attack by a white shark but the diver was the agressor,nan
south africa,nan,probable drowning  scavenging,nan
south africa,spearfishing competition,"no injury, rammed by shark",n
south africa,swimming,probable drowning  scavenging by a white shark,nan
australia,nan,hand bitten,n
usa,floating in inner tube,left leg & foot bitten,n
australia,diving & force-feeding the shark,laceration to thigh by captive shark provoked incident,n
south africa,attempting to drag hooked shark ashore by its tail,left leg bitten  provoked incident,n
bangladesh,ferry capsized,"fatal, of 190 passengers & crew thrown into the water, 50 people were said to have been killed by sharks",y
south africa,surfing,foot severed,n
south africa,nan,shark bit rudder & hull,n
